,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
153,mogadishu,SO,1612388032,2.0371,45.3438,76.14,83,20.2,81
154,coquimbo,CL,1612388077,-29.9533,-71.3436,64.4,72,11.5,20
155,noumea,NC,1612388117,-22.2763,166.4572,79.0,99,7.81,88
156,tieli,CN,1612388118,46.95,128.05,-26.77,85,3.85,72
157,ancud,CL,1612388119,-41.8697,-73.8203,69.8,56,8.05,0
158,quatre cocos,MU,1612388120,-20.2078,57.7625,75.99,88,11.36,75
159,temir,KZ,1612388122,49.1414,57.13,28.78,97,6.22,96
160,hobyo,SO,1612388123,5.3505,48.5268,75.81,82,15.79,2
161,pran buri,TH,1612388056,12.3847,99.9098,71.01,99,3.13,3
162,sibolga,ID,1612388125,1.7427,98.7792,75.72,83,3.85,97
163,stelnica,RO,1612388126,44.4167,27.8833,42.01,100,10.36,90
164,ambilobe,MG,1612388128,-13.2,49.05,75.38,90,1.95,52
165,willowmore,ZA,1612388129,-33.2926,23.4895,67.01,54,5.21,0
166,tateyama,JP,1612388074,34.9833,139.8667,44.01,54,7.0,0
167,raga,SS,1612388131,8.4596,25.678,77.34,26,2.35,32
168,opuwo,NA,1612388133,-18.0607,13.84,71.71,41,5.35,72
169,panguna,PG,1612388134,-6.3164,155.4848,74.84,93,3.4,98
170,semirom,IR,1612388135,31.4167,51.5667,33.6,75,2.73,0
171,petropavlovsk-kamchatskiy,RU,1612388136,53.0452,158.6483,17.6,62,6.71,100
172,mangan,IN,1612388137,27.5167,88.5333,51.57,37,6.04,0
173,ostrovnoy,RU,1612388139,68.0531,39.5131,14.54,94,13.58,100
174,tigil,RU,1612388140,57.8,158.6667,7.03,92,4.23,83
175,mackay,AU,1612387906,-21.15,149.2,75.99,88,6.91,15
176,arraial do cabo,BR,1612388142,-22.9661,-42.0278,82.4,78,21.85,0
177,jorhat,IN,1612388144,26.75,94.2167,58.26,69,1.05,0
178,khomeyn,IR,1612388145,33.6423,50.0789,38.52,61,1.86,0
179,tasiilaq,GL,1612388146,65.6145,-37.6368,27.01,97,25.79,96
180,tripoli,LY,1612388078,32.8752,13.1875,60.55,65,5.53,0
181,geraldton,AU,1612388149,-28.7667,114.6,69.8,68,23.02,90
182,manggar,ID,1612388150,-2.8833,108.2667,78.82,81,11.21,99
183,kruisfontein,ZA,1612388151,-34.0033,24.7314,71.01,81,3.0,4
184,verkhnyaya inta,RU,1612388152,65.9811,60.3094,5.68,95,9.62,100
185,robertsport,LR,1612388154,6.7533,-11.3686,80.85,85,9.71,0
186,sao joao da barra,BR,1612388155,-21.6403,-41.0511,82.4,65,20.71,0
187,sept-iles,CA,1612388156,50.2001,-66.3821,28.0,100,14.97,100
188,guerrero negro,MX,1612388157,27.9769,-114.0611,69.51,57,17.02,52
189,high river,CA,1612388158,50.5834,-113.8687,7.0,81,1.99,100
190,itarema,BR,1612388160,-2.9248,-39.9167,80.62,76,14.72,74
191,odienne,CI,1612388161,9.51,-7.5692,75.04,21,0.89,59
192,pontal do parana,BR,1612388163,-25.6533,-48.5128,84.2,58,4.61,75
193,ishinomaki,JP,1612388164,38.4167,141.3,24.8,86,8.05,75
194,pilar,BR,1612388165,-9.5972,-35.9567,78.8,78,11.5,0
195,viedma,AR,1612388167,-40.8135,-62.9967,87.01,33,14.05,0
196,yar-sale,RU,1612388168,66.8333,70.8333,-4.04,92,9.4,94
197,nagato,JP,1612388170,34.3833,131.2,42.8,86,3.44,75
198,san carlos,VE,1612388171,9.6612,-68.5827,91.8,32,1.92,41
199,thompson,CA,1612388172,55.7435,-97.8558,3.2,78,14.97,90
200,puerto montt,CL,1612387892,-41.4698,-72.9447,69.8,64,11.5,0
201,nioaque,BR,1612388175,-21.1353,-55.83,82.0,82,1.9,98
202,wenling,CN,1612388176,28.3669,121.36,51.01,77,5.5,57
203,vanavara,RU,1612388178,60.34,102.2797,-14.62,89,2.17,100
204,kavaratti,IN,1612388056,10.5669,72.642,81.01,63,3.85,87
205,sorochinsk,RU,1612388180,52.4338,53.1583,34.32,96,4.7,100
206,fairbanks,US,1612388113,64.8378,-147.7164,-9.4,70,5.75,90
207,fare,PF,1612388183,-16.7,-151.0167,81.28,69,7.61,14
208,turayf,SA,1612388184,31.6725,38.6637,53.6,58,12.66,0
209,asau,RO,1612388185,46.4333,26.4,37.4,100,9.22,90
210,monterey,US,1612388137,36.2505,-121.2516,60.01,52,14.0,0
211,airai,TL,1612388188,-8.9266,125.4092,61.59,100,5.1,99
212,riyadh,SA,1612388189,24.6877,46.7219,68.0,28,5.75,0
213,talaya,RU,1612388190,61.3833,152.75,-23.12,83,8.08,100
214,marondera,ZW,1612388191,-18.1853,31.5519,61.38,100,5.26,99
215,chiniot,PK,1612388193,31.72,72.9789,50.13,80,6.51,48
216,san quintin,MX,1612388194,30.4833,-115.95,64.4,70,15.35,65
217,pervomayskiy,RU,1612388195,53.2485,40.2871,33.01,85,8.32,100
218,tromso,NO,1612388196,69.6496,18.957,30.2,80,13.8,75
219,kyzyl-suu,KG,1612388198,42.3414,78.0056,24.49,70,6.67,0
220,hirara,JP,1612388199,24.8,125.2833,65.7,64,11.16,75
221,hay river,CA,1612388200,60.8156,-115.7999,-13.0,70,8.05,100
222,cabedelo,BR,1612388201,-6.9811,-34.8339,80.6,78,12.66,40
223,camopi,GF,1612388051,3.1655,-52.3158,74.44,97,3.62,99
224,cozumel,MX,1612387910,20.5083,-86.9458,77.0,44,6.91,1
225,katesh,TZ,1612388205,-4.5167,35.3833,58.15,99,4.47,61
226,gbarnga,LR,1612388206,6.9956,-9.4722,74.93,86,3.67,25
227,severo-kurilsk,RU,1612388207,50.6789,156.125,10.92,93,33.78,100
228,aleksandrovka,UA,1612388209,46.8383,32.7612,42.8,93,8.95,90
229,santa rosa,PH,1612388210,14.3122,121.1114,77.0,78,2.3,20
230,cabo san lucas,MX,1612388211,22.8909,-109.9124,86.0,28,12.66,20
231,roma,US,1612388045,43.2128,-75.4557,27.0,68,13.8,90
232,zhigansk,RU,1612388213,66.7697,123.3711,-38.13,80,10.92,97
233,kapit,MY,1612388215,2.0167,112.9333,73.45,95,0.94,85
234,morant bay,JM,1612388216,17.8815,-76.4093,82.4,61,16.11,20
235,tabas,IR,1612388217,33.5959,56.9244,44.6,31,4.61,0
236,cayenne,GF,1612387952,4.9333,-52.3333,82.4,78,14.97,75
237,beloha,MG,1612388220,-25.1667,45.05,77.38,70,10.54,10
238,ilinge,ZA,1612388221,-31.9768,27.0427,65.43,75,4.72,28
239,custoias,PT,1612388222,41.1053,-7.321,48.99,9,7.81,63
240,mahebourg,MU,1612388223,-20.4081,57.7,75.2,88,11.79,75
241,ottawa,CA,1612388155,45.4112,-75.6981,35.6,55,18.41,75
242,hithadhoo,MV,1612388226,-0.6,73.0833,82.87,71,7.74,90
243,lata,PT,1612388227,40.1629,-8.3327,55.99,86,4.85,52
244,fez,MA,1612388228,34.0372,-4.9998,53.6,100,3.44,75
245,banff,CA,1612388230,51.1762,-115.5698,23.0,74,6.91,89
246,itatuba,BR,1612388231,-7.375,-35.6283,80.6,61,18.41,0
247,kudahuvadhoo,MV,1612388232,2.6708,72.8944,81.39,80,18.81,98
248,tambovka,RU,1612388233,50.0969,128.0489,-20.2,57,4.47,0
249,marienburg,PL,1612388235,54.0359,19.0266,32.0,91,4.0,100
250,tomatlan,MX,1612388236,19.9333,-105.25,85.06,50,7.34,3
251,wilmington,US,1612388231,34.2257,-77.9447,52.0,20,19.57,1
252,vangaindrano,MG,1612388162,-23.35,47.6,75.34,82,2.26,32
253,rock sound,BS,1612388240,24.9,-76.2,67.42,56,18.28,0
254,ancona,IT,1612388241,43.55,13.1667,59.0,82,1.14,20
255,esmeraldas,BR,1612388242,-19.7625,-44.3139,87.8,45,8.05,0
256,tiksi,RU,1612388243,71.6872,128.8694,-27.36,84,2.39,55
257,los llanos de aridane,ES,1612388245,28.6585,-17.9182,64.4,77,4.61,75
258,cururupu,BR,1612388246,-1.8283,-44.8683,77.4,84,3.94,33
259,joshimath,IN,1612388247,30.5667,79.5667,36.86,61,6.35,41
260,kiruna,SE,1612388105,67.8557,20.2251,15.8,86,13.8,90
261,thai nguyen,VN,1612388250,21.5928,105.8442,64.4,94,4.61,75
262,ponta do sol,PT,1612388251,32.6667,-17.1,55.0,63,3.0,71
263,sur,OM,1612388252,22.5667,59.5289,67.1,73,5.55,0
264,dera bugti,PK,1612388253,29.0307,69.151,60.31,33,12.68,81
265,trapani,IT,1612388255,37.8333,12.6667,59.0,94,12.66,0
266,lazaro cardenas,MX,1612388256,17.9583,-102.2,81.32,66,9.46,23
267,bergama,TR,1612388257,39.1207,27.1805,51.8,100,4.61,40
268,bengkulu,ID,1612388258,-3.8004,102.2655,75.56,84,5.44,100
269,cidreira,BR,1612388259,-30.1811,-50.2056,77.92,86,12.03,100
270,berlevag,NO,1612388261,70.8578,29.0864,30.2,86,31.07,75
271,lasa,IT,1612388262,46.6166,10.7002,35.6,93,4.61,90
272,krasnoselkup,RU,1612388263,65.7,82.4667,-4.72,92,6.04,90
273,trofors,NO,1612388264,65.5333,13.4063,-2.2,84,6.91,0
274,klaksvik,FO,1612388266,62.2266,-6.589,30.2,80,5.75,53
275,maningrida,AU,1612388267,-12.0667,134.2667,79.3,84,11.79,95
276,tupik,RU,1612388268,54.4253,119.9327,-34.73,78,1.7,0
277,trelew,AR,1612388269,-43.249,-65.3051,90.9,14,12.01,100
278,atar,MR,1612388143,20.5169,-13.0499,69.93,21,1.07,25
279,vila franca do campo,PT,1612388272,37.7167,-25.4333,51.8,71,10.36,40
280,lensk,RU,1612388273,60.7253,114.9278,-19.59,85,3.0,100
281,bundibugyo,UG,1612388274,0.7414,30.0417,74.21,43,3.22,21
282,chicama,PE,1612388276,-7.8447,-79.1469,71.6,83,10.36,0
283,auki,SB,1612388277,-8.7676,160.7034,78.15,83,9.04,100
284,qasigiannguit,GL,1612388278,68.8193,-51.1922,-5.8,45,6.91,20
285,waipawa,NZ,1612388279,-41.4122,175.5153,62.01,67,19.57,75
286,lewiston,US,1612388281,44.1003,-70.2148,35.6,64,10.36,90
287,mezhova,UA,1612388282,48.2532,36.7347,42.12,91,4.25,99
288,kihei,US,1612388283,20.785,-156.4656,72.0,76,8.01,93
289,namibe,AO,1612388285,-15.1961,12.1522,72.64,72,7.67,82
290,tuatapere,NZ,1612388138,-46.1333,167.6833,56.03,60,7.2,20
291,broome,US,1612388287,42.2506,-75.833,26.01,86,14.97,90
292,esperance,AU,1612388288,-33.8667,121.9,55.4,58,9.22,40
293,havoysund,NO,1612388290,70.9963,24.6622,28.4,93,32.21,90
294,namatanai,PG,1612388291,-3.6667,152.4333,82.11,76,3.62,91
295,jeremie,HT,1612388292,18.65,-74.1167,73.78,75,12.66,89
296,kimbe,PG,1612388293,-5.5502,150.1429,79.25,83,1.25,100
297,vestmannaeyjar,IS,1612388294,63.4427,-20.2734,38.89,74,34.54,100
298,kifri,IQ,1612388296,34.6959,44.9661,55.29,45,2.57,0
299,sinazongwe,ZM,1612388297,-17.2614,27.4618,76.19,80,5.28,100
300,del rio,US,1612388298,29.3627,-100.8968,78.8,25,13.8,1
301,lahstedt,DE,1612388300,52.2483,10.2325,43.0,93,8.05,90
302,rabo de peixe,PT,1612388227,37.8,-25.5833,51.8,71,10.36,40
303,ketchikan,US,1612388303,55.3422,-131.6461,37.4,100,5.75,90
304,amparafaravola,MG,1612388304,-17.5833,48.2167,66.76,95,4.05,37
